"","condition","item","response","response_time","subject","ambiguity_G","question_type_G","ambiguity","question_type"
"63","exp4","3",1,2794,1,"Unambiguous","Main_Clause_Question",-1,1
"69","exp2","9",0,3354,1,"Unambiguous","Subordinate_Clause_Question",-1,-1
"75","exp2","5",0,2605,1,"Unambiguous","Subordinate_Clause_Question",-1,-1
"81","exp3","6",1,3141,1,"Ambiguous","Main_Clause_Question",1,1
"87","exp3","14",0,1609,1,"Ambiguous","Main_Clause_Question",1,1
"93","exp2","1",1,3773,1,"Unambiguous","Subordinate_Clause_Question",-1,-1
"99","exp3","2",1,1741,1,"Ambiguous","Main_Clause_Question",1,1
"105","exp1","8",1,4044,1,"Ambiguous","Subordinate_Clause_Question",1,-1
"111","exp4","7",1,2398,1,"Unambiguous","Main_Clause_Question",-1,1
"117","exp1","12",0,3332,1,"Ambiguous","Subordinate_Clause_Question",1,-1
"123","exp3","10",0,3133,1,"Ambiguous","Main_Clause_Question",1,1
"129","exp4","11",0,4090,1,"Unambiguous","Main_Clause_Question",-1,1
"135","exp1","4",0,3374,1,"Ambiguous","Subordinate_Clause_Question",1,-1
"141","exp2","13",1,4544,1,"Unambiguous","Subordinate_Clause_Question",-1,-1
"147","exp4","15",1,2879,1,"Unambiguous","Main_Clause_Question",-1,1
"153","exp1","16",0,3330,1,"Ambiguous","Subordinate_Clause_Question",1,-1
"220","exp3","1",1,2696,2,"Ambiguous","Main_Clause_Question",1,1
"226","exp4","10",1,2917,2,"Unambiguous","Main_Clause_Question",-1,1
"232","exp2","12",0,3875,2,"Unambiguous","Subordinate_Clause_Question",-1,-1
"238","exp1","11",1,3182,2,"Ambiguous","Subordinate_Clause_Question",1,-1
"244","exp3","13",1,1782,2,"Ambiguous","Main_Clause_Question",1,1
"250","exp4","14",0,1899,2,"Unambiguous","Main_Clause_Question",-1,1
"256","exp2","8",0,3872,2,"Unambiguous","Subordinate_Clause_Question",-1,-1
"262","exp2","4",0,1859,2,"Unambiguous","Subordinate_Clause_Question",-1,-1
"268","exp2","16",0,2049,2,"Unambiguous","Subordinate_Clause_Question",-1,-1
"274","exp1","7",0,1600,2,"Ambiguous","Subordinate_Clause_Question",1,-1
"280","exp4","6",1,1354,2,"Unambiguous","Main_Clause_Question",-1,1
"286","exp1","3",1,10791,2,"Ambiguous","Subordinate_Clause_Question",1,-1
"292","exp4","2",1,1360,2,"Unambiguous","Main_Clause_Question",-1,1
"298","exp1","15",0,1701,2,"Ambiguous","Subordinate_Clause_Question",1,-1
"304","exp3","9",0,7032,2,"Ambiguous","Main_Clause_Question",1,1
"310","exp3","5",0,3666,2,"Ambiguous","Main_Clause_Question",1,1
"373","exp1","6",0,5700,3,"Ambiguous","Subordinate_Clause_Question",1,-1
"379","exp2","3",1,6764,3,"Unambiguous","Subordinate_Clause_Question",-1,-1
"385","exp4","9",0,10420,3,"Unambiguous","Main_Clause_Question",-1,1
"391","exp3","16",1,4721,3,"Ambiguous","Main_Clause_Question",1,1
"397","exp2","7",0,3879,3,"Unambiguous","Subordinate_Clause_Question",-1,-1
"403","exp3","4",0,6483,3,"Ambiguous","Main_Clause_Question",1,1
"409","exp2","11",1,9221,3,"Unambiguous","Subordinate_Clause_Question",-1,-1
"415","exp3","8",1,2931,3,"Ambiguous","Main_Clause_Question",1,1
"421","exp4","13",1,1754,3,"Unambiguous","Main_Clause_Question",-1,1
"427","exp1","2",0,2003,3,"Ambiguous","Subordinate_Clause_Question",1,-1
"433","exp4","1",1,2059,3,"Unambiguous","Main_Clause_Question",-1,1
"439","exp1","14",1,3932,3,"Ambiguous","Subordinate_Clause_Question",1,-1
"445","exp3","12",1,1496,3,"Ambiguous","Main_Clause_Question",1,1
"451","exp4","5",1,1826,3,"Unambiguous","Main_Clause_Question",-1,1
"457","exp1","10",1,4681,3,"Ambiguous","Subordinate_Clause_Question",1,-1
"463","exp2","15",1,4710,3,"Unambiguous","Subordinate_Clause_Question",-1,-1
"530","exp2","2",1,5739,4,"Unambiguous","Subordinate_Clause_Question",-1,-1
"536","exp1","9",1,2131,4,"Ambiguous","Subordinate_Clause_Question",1,-1
"542","exp2","10",0,3068,4,"Unambiguous","Subordinate_Clause_Question",-1,-1
"548","exp1","5",1,1493,4,"Ambiguous","Subordinate_Clause_Question",1,-1
"554","exp3","3",1,2737,4,"Ambiguous","Main_Clause_Question",1,1
"560","exp4","8",1,2788,4,"Unambiguous","Main_Clause_Question",-1,1
"566","exp3","7",1,2120,4,"Ambiguous","Main_Clause_Question",1,1
"572","exp1","1",1,3810,4,"Ambiguous","Subordinate_Clause_Question",1,-1
"578","exp2","14",1,3774,4,"Unambiguous","Subordinate_Clause_Question",-1,-1
"584","exp2","6",0,2966,4,"Unambiguous","Subordinate_Clause_Question",-1,-1
"590","exp4","12",1,2406,4,"Unambiguous","Main_Clause_Question",-1,1
"596","exp3","11",0,3148,4,"Ambiguous","Main_Clause_Question",1,1
"602","exp1","13",0,2829,4,"Ambiguous","Subordinate_Clause_Question",1,-1
"608","exp3","15",1,2611,4,"Ambiguous","Main_Clause_Question",1,1
"614","exp4","4",1,2452,4,"Unambiguous","Main_Clause_Question",-1,1
"620","exp4","16",1,1218,4,"Unambiguous","Main_Clause_Question",-1,1
"683","exp3","14",0,6410,5,"Ambiguous","Main_Clause_Question",1,1
"689","exp3","6",1,3753,5,"Ambiguous","Main_Clause_Question",1,1
"695","exp4","15",0,2698,5,"Unambiguous","Main_Clause_Question",-1,1
"701","exp3","2",1,2012,5,"Ambiguous","Main_Clause_Question",1,1
"707","exp4","3",1,2355,5,"Unambiguous","Main_Clause_Question",-1,1
"713","exp2","13",1,2508,5,"Unambiguous","Subordinate_Clause_Question",-1,-1
"719","exp3","10",1,2556,5,"Ambiguous","Main_Clause_Question",1,1
"725","exp2","5",1,3182,5,"Unambiguous","Subordinate_Clause_Question",-1,-1
"731","exp2","9",1,2559,5,"Unambiguous","Subordinate_Clause_Question",-1,-1
"737","exp2","1",1,5758,5,"Unambiguous","Subordinate_Clause_Question",-1,-1
"743","exp1","4",1,2056,5,"Ambiguous","Subordinate_Clause_Question",1,-1
"749","exp1","16",0,6967,5,"Ambiguous","Subordinate_Clause_Question",1,-1
"755","exp1","12",0,1440,5,"Ambiguous","Subordinate_Clause_Question",1,-1
"761","exp1","8",1,7993,5,"Ambiguous","Subordinate_Clause_Question",1,-1
"767","exp4","7",1,2239,5,"Unambiguous","Main_Clause_Question",-1,1
"773","exp4","11",0,5414,5,"Unambiguous","Main_Clause_Question",-1,1
"838","exp2","4",0,2390,6,"Unambiguous","Subordinate_Clause_Question",-1,-1
"844","exp1","11",1,4674,6,"Ambiguous","Subordinate_Clause_Question",1,-1
"850","exp4","14",1,7308,6,"Unambiguous","Main_Clause_Question",-1,1
"856","exp2","16",1,2817,6,"Unambiguous","Subordinate_Clause_Question",-1,-1
"862","exp1","15",0,4870,6,"Ambiguous","Subordinate_Clause_Question",1,-1
"868","exp4","10",0,2463,6,"Unambiguous","Main_Clause_Question",-1,1
"874","exp1","3",0,2729,6,"Ambiguous","Subordinate_Clause_Question",1,-1
"880","exp4","6",1,2261,6,"Unambiguous","Main_Clause_Question",-1,1
"886","exp2","12",0,5036,6,"Unambiguous","Subordinate_Clause_Question",-1,-1
"892","exp3","13",1,1511,6,"Ambiguous","Main_Clause_Question",1,1
"898","exp4","2",1,3436,6,"Unambiguous","Main_Clause_Question",-1,1
"904","exp3","9",1,2194,6,"Ambiguous","Main_Clause_Question",1,1
"910","exp3","5",0,2856,6,"Ambiguous","Main_Clause_Question",1,1
"916","exp1","7",1,2340,6,"Ambiguous","Subordinate_Clause_Question",1,-1
"922","exp3","1",1,1741,6,"Ambiguous","Main_Clause_Question",1,1
"928","exp2","8",1,2727,6,"Unambiguous","Subordinate_Clause_Question",-1,-1
"995","exp4","13",1,7919,7,"Unambiguous","Main_Clause_Question",-1,1
"1001","exp3","8",1,2422,7,"Ambiguous","Main_Clause_Question",1,1
"1007","exp3","16",0,2187,7,"Ambiguous","Main_Clause_Question",1,1
"1013","exp3","12",0,3699,7,"Ambiguous","Main_Clause_Question",1,1
"1019","exp1","6",0,6346,7,"Ambiguous","Subordinate_Clause_Question",1,-1
"1025","exp1","2",1,4642,7,"Ambiguous","Subordinate_Clause_Question",1,-1
"1031","exp2","7",1,3678,7,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1037","exp4","1",0,2882,7,"Unambiguous","Main_Clause_Question",-1,1
"1043","exp2","11",0,3281,7,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1049","exp1","14",0,4804,7,"Ambiguous","Subordinate_Clause_Question",1,-1
"1055","exp1","10",0,2216,7,"Ambiguous","Subordinate_Clause_Question",1,-1
"1061","exp2","15",1,2840,7,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1067","exp4","5",0,2587,7,"Unambiguous","Main_Clause_Question",-1,1
"1073","exp3","4",1,3706,7,"Ambiguous","Main_Clause_Question",1,1
"1079","exp2","3",0,2484,7,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1085","exp4","9",1,2421,7,"Unambiguous","Main_Clause_Question",-1,1
"1150","exp3","3",1,3112,8,"Ambiguous","Main_Clause_Question",1,1
"1156","exp4","16",0,2305,8,"Unambiguous","Main_Clause_Question",-1,1
"1162","exp3","15",1,2646,8,"Ambiguous","Main_Clause_Question",1,1
"1168","exp4","8",1,2501,8,"Unambiguous","Main_Clause_Question",-1,1
"1174","exp4","12",0,1877,8,"Unambiguous","Main_Clause_Question",-1,1
"1180","exp3","7",0,2404,8,"Ambiguous","Main_Clause_Question",1,1
"1186","exp1","5",0,7715,8,"Ambiguous","Subordinate_Clause_Question",1,-1
"1192","exp1","9",1,2524,8,"Ambiguous","Subordinate_Clause_Question",1,-1
"1198","exp2","2",0,2424,8,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1204","exp1","13",1,2434,8,"Ambiguous","Subordinate_Clause_Question",1,-1
"1210","exp2","6",0,3498,8,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1216","exp2","10",0,2596,8,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1222","exp2","14",0,3909,8,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1228","exp3","11",0,2639,8,"Ambiguous","Main_Clause_Question",1,1
"1234","exp1","1",0,2598,8,"Ambiguous","Subordinate_Clause_Question",1,-1
"1240","exp4","4",0,3049,8,"Unambiguous","Main_Clause_Question",-1,1
"1305","exp1","4",0,4670,9,"Ambiguous","Subordinate_Clause_Question",1,-1
"1311","exp2","1",0,6129,9,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1317","exp4","11",0,3683,9,"Unambiguous","Main_Clause_Question",-1,1
"1323","exp2","9",0,3389,9,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1329","exp4","15",0,2962,9,"Unambiguous","Main_Clause_Question",-1,1
"1335","exp1","16",0,2531,9,"Ambiguous","Subordinate_Clause_Question",1,-1
"1341","exp3","2",0,2308,9,"Ambiguous","Main_Clause_Question",1,1
"1347","exp3","6",0,3789,9,"Ambiguous","Main_Clause_Question",1,1
"1353","exp4","7",0,2526,9,"Unambiguous","Main_Clause_Question",-1,1
"1359","exp1","12",0,2513,9,"Ambiguous","Subordinate_Clause_Question",1,-1
"1365","exp2","13",0,2019,9,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1371","exp3","10",0,2313,9,"Ambiguous","Main_Clause_Question",1,1
"1377","exp1","8",0,2329,9,"Ambiguous","Subordinate_Clause_Question",1,-1
"1383","exp4","3",1,2461,9,"Unambiguous","Main_Clause_Question",-1,1
"1389","exp2","5",0,2075,9,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1395","exp3","14",0,1873,9,"Ambiguous","Main_Clause_Question",1,1
"1460","exp3","1",1,5427,10,"Ambiguous","Main_Clause_Question",1,1
"1466","exp3","5",0,4015,10,"Ambiguous","Main_Clause_Question",1,1
"1472","exp1","15",0,6263,10,"Ambiguous","Subordinate_Clause_Question",1,-1
"1478","exp3","13",1,10305,10,"Ambiguous","Main_Clause_Question",1,1
"1484","exp2","16",1,4882,10,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1490","exp2","4",1,5882,10,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1496","exp4","6",0,12204,10,"Unambiguous","Main_Clause_Question",-1,1
"1502","exp4","14",0,3073,10,"Unambiguous","Main_Clause_Question",-1,1
"1508","exp4","2",1,2482,10,"Unambiguous","Main_Clause_Question",-1,1
"1514","exp3","9",1,4769,10,"Ambiguous","Main_Clause_Question",1,1
"1520","exp1","3",0,4275,10,"Ambiguous","Subordinate_Clause_Question",1,-1
"1526","exp1","11",1,3521,10,"Ambiguous","Subordinate_Clause_Question",1,-1
"1532","exp2","8",1,2948,10,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1538","exp1","7",0,2292,10,"Ambiguous","Subordinate_Clause_Question",1,-1
"1544","exp2","12",1,6662,10,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1550","exp4","10",1,7179,10,"Unambiguous","Main_Clause_Question",-1,1
"1615","exp1","10",0,4356,11,"Ambiguous","Subordinate_Clause_Question",1,-1
"1621","exp4","9",1,3107,11,"Unambiguous","Main_Clause_Question",-1,1
"1627","exp1","2",0,2891,11,"Ambiguous","Subordinate_Clause_Question",1,-1
"1633","exp2","15",1,2880,11,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1639","exp4","5",1,1962,11,"Unambiguous","Main_Clause_Question",-1,1
"1645","exp3","8",1,2824,11,"Ambiguous","Main_Clause_Question",1,1
"1651","exp3","16",1,2743,11,"Ambiguous","Main_Clause_Question",1,1
"1657","exp2","7",1,2757,11,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1663","exp4","13",1,2229,11,"Unambiguous","Main_Clause_Question",-1,1
"1669","exp1","6",0,3952,11,"Ambiguous","Subordinate_Clause_Question",1,-1
"1675","exp2","3",0,4770,11,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1681","exp4","1",1,1438,11,"Unambiguous","Main_Clause_Question",-1,1
"1687","exp3","12",0,1531,11,"Ambiguous","Main_Clause_Question",1,1
"1693","exp2","11",0,3836,11,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1699","exp3","4",0,2331,11,"Ambiguous","Main_Clause_Question",1,1
"1705","exp1","14",0,5896,11,"Ambiguous","Subordinate_Clause_Question",1,-1
"1770","exp4","16",0,2367,12,"Unambiguous","Main_Clause_Question",-1,1
"1776","exp1","13",0,2716,12,"Ambiguous","Subordinate_Clause_Question",1,-1
"1782","exp2","10",1,3853,12,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1788","exp3","11",0,3893,12,"Ambiguous","Main_Clause_Question",1,1
"1794","exp1","5",1,2769,12,"Ambiguous","Subordinate_Clause_Question",1,-1
"1800","exp3","3",0,2620,12,"Ambiguous","Main_Clause_Question",1,1
"1806","exp2","14",1,2865,12,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1812","exp2","6",0,7585,12,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1818","exp3","15",0,3432,12,"Ambiguous","Main_Clause_Question",1,1
"1824","exp3","7",1,3207,12,"Ambiguous","Main_Clause_Question",1,1
"1830","exp4","8",0,3920,12,"Unambiguous","Main_Clause_Question",-1,1
"1836","exp1","1",1,3332,12,"Ambiguous","Subordinate_Clause_Question",1,-1
"1842","exp4","4",1,7350,12,"Unambiguous","Main_Clause_Question",-1,1
"1848","exp4","12",0,1410,12,"Unambiguous","Main_Clause_Question",-1,1
"1854","exp1","9",0,4186,12,"Ambiguous","Subordinate_Clause_Question",1,-1
"1860","exp2","2",0,2692,12,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1925","exp2","5",1,3991,13,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1931","exp3","2",0,2917,13,"Ambiguous","Main_Clause_Question",1,1
"1937","exp1","12",0,4606,13,"Ambiguous","Subordinate_Clause_Question",1,-1
"1943","exp1","16",1,6246,13,"Ambiguous","Subordinate_Clause_Question",1,-1
"1949","exp4","15",0,4433,13,"Unambiguous","Main_Clause_Question",-1,1
"1955","exp2","13",1,3956,13,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1961","exp2","9",1,3725,13,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1967","exp2","1",1,1383,13,"Unambiguous","Subordinate_Clause_Question",-1,-1
"1973","exp1","8",0,1649,13,"Ambiguous","Subordinate_Clause_Question",1,-1
"1979","exp3","6",1,4976,13,"Ambiguous","Main_Clause_Question",1,1
"1985","exp4","3",1,2285,13,"Unambiguous","Main_Clause_Question",-1,1
"1991","exp4","7",1,1802,13,"Unambiguous","Main_Clause_Question",-1,1
"1997","exp3","14",0,3184,13,"Ambiguous","Main_Clause_Question",1,1
"2003","exp4","11",1,4463,13,"Unambiguous","Main_Clause_Question",-1,1
"2009","exp3","10",0,5942,13,"Ambiguous","Main_Clause_Question",1,1
"2015","exp1","4",0,2312,13,"Ambiguous","Subordinate_Clause_Question",1,-1
"2080","exp2","16",0,3451,14,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2086","exp4","10",0,4278,14,"Unambiguous","Main_Clause_Question",-1,1
"2092","exp2","8",1,19817,14,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2098","exp1","15",1,6888,14,"Ambiguous","Subordinate_Clause_Question",1,-1
"2104","exp2","4",1,6620,14,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2110","exp4","6",1,3761,14,"Unambiguous","Main_Clause_Question",-1,1
"2116","exp3","5",0,4794,14,"Ambiguous","Main_Clause_Question",1,1
"2122","exp2","12",0,2958,14,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2128","exp3","9",0,3860,14,"Ambiguous","Main_Clause_Question",1,1
"2134","exp3","13",0,4309,14,"Ambiguous","Main_Clause_Question",1,1
"2140","exp1","11",0,3236,14,"Ambiguous","Subordinate_Clause_Question",1,-1
"2146","exp3","1",1,3494,14,"Ambiguous","Main_Clause_Question",1,1
"2152","exp1","3",1,7414,14,"Ambiguous","Subordinate_Clause_Question",1,-1
"2158","exp1","7",0,4307,14,"Ambiguous","Subordinate_Clause_Question",1,-1
"2164","exp4","14",0,5379,14,"Unambiguous","Main_Clause_Question",-1,1
"2170","exp4","2",0,5089,14,"Unambiguous","Main_Clause_Question",-1,1
"2233","exp2","7",0,1600,15,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2239","exp4","1",1,2046,15,"Unambiguous","Main_Clause_Question",-1,1
"2245","exp1","6",0,2678,15,"Ambiguous","Subordinate_Clause_Question",1,-1
"2251","exp1","2",1,3654,15,"Ambiguous","Subordinate_Clause_Question",1,-1
"2257","exp4","13",0,2640,15,"Unambiguous","Main_Clause_Question",-1,1
"2263","exp2","11",1,2009,15,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2269","exp2","15",1,1536,15,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2275","exp3","16",0,3003,15,"Ambiguous","Main_Clause_Question",1,1
"2281","exp3","12",1,1796,15,"Ambiguous","Main_Clause_Question",1,1
"2287","exp4","5",0,1480,15,"Unambiguous","Main_Clause_Question",-1,1
"2293","exp3","4",0,2856,15,"Ambiguous","Main_Clause_Question",1,1
"2299","exp1","14",1,1584,15,"Ambiguous","Subordinate_Clause_Question",1,-1
"2305","exp4","9",0,3290,15,"Unambiguous","Main_Clause_Question",-1,1
"2311","exp3","8",0,1758,15,"Ambiguous","Main_Clause_Question",1,1
"2317","exp1","10",0,2153,15,"Ambiguous","Subordinate_Clause_Question",1,-1
"2323","exp2","3",1,2666,15,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2388","exp2","10",1,8062,16,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2394","exp4","12",1,3005,16,"Unambiguous","Main_Clause_Question",-1,1
"2400","exp3","3",0,3254,16,"Ambiguous","Main_Clause_Question",1,1
"2406","exp4","16",1,2195,16,"Unambiguous","Main_Clause_Question",-1,1
"2412","exp2","2",1,5458,16,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2418","exp1","5",0,3626,16,"Ambiguous","Subordinate_Clause_Question",1,-1
"2424","exp3","7",0,3624,16,"Ambiguous","Main_Clause_Question",1,1
"2430","exp3","11",1,2976,16,"Ambiguous","Main_Clause_Question",1,1
"2436","exp3","15",0,3641,16,"Ambiguous","Main_Clause_Question",1,1
"2442","exp2","14",1,6065,16,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2448","exp4","8",0,2026,16,"Unambiguous","Main_Clause_Question",-1,1
"2454","exp1","9",0,3005,16,"Ambiguous","Subordinate_Clause_Question",1,-1
"2460","exp2","6",1,3351,16,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2466","exp4","4",1,5340,16,"Unambiguous","Main_Clause_Question",-1,1
"2472","exp1","1",1,2655,16,"Ambiguous","Subordinate_Clause_Question",1,-1
"2478","exp1","13",1,3147,16,"Ambiguous","Subordinate_Clause_Question",1,-1
"2543","exp1","16",0,4563,17,"Ambiguous","Subordinate_Clause_Question",1,-1
"2549","exp2","1",1,10988,17,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2555","exp1","12",1,5194,17,"Ambiguous","Subordinate_Clause_Question",1,-1
"2561","exp1","8",1,6133,17,"Ambiguous","Subordinate_Clause_Question",1,-1
"2567","exp4","15",1,2452,17,"Unambiguous","Main_Clause_Question",-1,1
"2573","exp1","4",0,9421,17,"Ambiguous","Subordinate_Clause_Question",1,-1
"2579","exp3","6",1,4112,17,"Ambiguous","Main_Clause_Question",1,1
"2585","exp4","11",0,11208,17,"Unambiguous","Main_Clause_Question",-1,1
"2591","exp2","13",1,2893,17,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2597","exp3","14",1,7297,17,"Ambiguous","Main_Clause_Question",1,1
"2603","exp4","7",1,2792,17,"Unambiguous","Main_Clause_Question",-1,1
"2609","exp3","2",1,2606,17,"Ambiguous","Main_Clause_Question",1,1
"2615","exp3","10",1,5644,17,"Ambiguous","Main_Clause_Question",1,1
"2621","exp2","5",1,3133,17,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2627","exp2","9",1,1843,17,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2633","exp4","3",1,3068,17,"Unambiguous","Main_Clause_Question",-1,1
"2700","exp4","10",0,2524,18,"Unambiguous","Main_Clause_Question",-1,1
"2706","exp1","15",0,2798,18,"Ambiguous","Subordinate_Clause_Question",1,-1
"2712","exp2","16",0,3508,18,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2718","exp3","1",1,2693,18,"Ambiguous","Main_Clause_Question",1,1
"2724","exp4","6",1,2418,18,"Unambiguous","Main_Clause_Question",-1,1
"2730","exp3","9",1,3281,18,"Ambiguous","Main_Clause_Question",1,1
"2736","exp4","14",1,3207,18,"Unambiguous","Main_Clause_Question",-1,1
"2742","exp4","2",1,4880,18,"Unambiguous","Main_Clause_Question",-1,1
"2748","exp1","11",1,2196,18,"Ambiguous","Subordinate_Clause_Question",1,-1
"2754","exp1","7",0,2925,18,"Ambiguous","Subordinate_Clause_Question",1,-1
"2760","exp3","13",1,2370,18,"Ambiguous","Main_Clause_Question",1,1
"2766","exp2","12",0,5077,18,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2772","exp2","8",1,3685,18,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2778","exp2","4",0,1835,18,"Unambiguous","Subordinate_Clause_Question",-1,-1
"2784","exp1","3",0,1815,18,"Ambiguous","Subordinate_Clause_Question",1,-1
"2790","exp3","5",0,3246,18,"Ambiguous","Main_Clause_Question",1,1
